Farmer Code,Date,Shift,Cow/Buff,Qty,Rate,Amount,Fat,KiloFat,CanNo,EntryDt,c_KiloFat,c_KiloQty,,
105,01-04-2017 00:00,M,C,3.9,26.38,102.88,3.8,14.82,8,01-04-2017 09:39,0.1482,3.9,,
2,01-04-2017 00:00,M,C,10.52,27.21,286.25,4.1,43.13,8,01-04-2017 09:40,0.43132,10.52,,
156,01-04-2017 00:00,M,C,1.78,31.94,56.85,5.8,10.32,8,01-04-2017 09:41,0.10324,1.78,,
121,01-04-2017 00:00,M,C,11.3,31.38,354.59,5.6,63.28,8,01-04-2017 09:42,0.6328,11.3,,
121,01-04-2017 00:00,M,C,22.56,26.38,595.13,3.8,85.73,9,01-04-2017 09:43,0.85728,22.56,,
64,01-04-2017 00:00,M,B,9.88,35.91,354.79,6.3,62.24,1,01-04-2017 09:44,0.62244,9.88,,
64,01-04-2017 00:00,M,C,9.84,26.38,259.58,3.8,37.39,9,01-04-2017 09:45,0.37392,9.84,,
77,01-04-2017 00:00,M,C,12.24,31.1,380.66,5.5,67.32,9,01-04-2017 09:46,0.6732,12.24,,
152,01-04-2017 00:00,M,B,9.34,37.62,351.37,6.6,61.64,1,01-04-2017 09:47,0.61644,9.34,,
152,01-04-2017 00:00,M,C,17.22,27.21,468.56,4.1,70.6,10,01-04-2017 09:48,0.70602,17.22,,
10,01-04-2017 00:00,M,C,4.82,28.88,139.2,4.7,22.65,10,01-04-2017 09:49,0.22654,4.82,,
39,01-04-2017 00:00,M,C,28.44,28.88,821.35,4.7,133.67,11,01-04-2017 09:51,1.33668,28.44,,Average Rate Formula = (sum of c_kilofat/sum of c_kiloQty)*100
143,01-04-2017 00:00,M,C,20.36,27.77,565.4,4.3,87.55,11,01-04-2017 09:51,0.87548,20.36,,
111,01-04-2017 00:00,M,C,6.5,29.16,189.54,4.8,31.2,11,01-04-2017 09:53,0.312,6.5,,
16,01-04-2017 00:00,M,C,6.14,27.49,168.79,4.2,25.79,11,01-04-2017 09:53,0.25788,6.14,,
51,01-04-2017 00:00,M,C,8.44,28.6,241.38,4.6,38.82,12,01-04-2017 09:54,0.38824,8.44,,
123,01-04-2017 00:00,M,B,2.24,38.76,86.82,6.8,15.23,1,01-04-2017 09:55,0.15232,2.24,,
