Farmer Code,Date,Shift,Cow/Buff,Qty,Rate,Amount,Fat,KiloFat = Qty * Fat,CanNo,EntryDt,c_KiloFat,c_KiloQty
117,01-04-2017 00:00,M,C,1.96,30.55,59.88,5.3,10.39,1,01-04-2017 09:47,0.10388,1.96
121,01-04-2017 00:00,M,C,1.48,28.88,42.74,4.7,6.96,1,01-04-2017 09:48,0.06956,1.48
42,01-04-2017 00:00,M,C,11.46,27.77,318.24,4.3,49.28,1,01-04-2017 09:49,0.49278,11.46
167,01-04-2017 00:00,M,C,20.56,28.33,582.46,4.5,92.52,1,01-04-2017 09:54,0.9252,20.56
98,01-04-2017 00:00,M,C,2.72,26.66,72.52,3.9,10.61,1,01-04-2017 09:55,0.10608,2.72
127,01-04-2017 00:00,M,C,2.78,27.77,77.2,4.3,11.95,2,01-04-2017 09:55,0.11954,2.78
47,01-04-2017 00:00,M,B,4.52,38.19,172.62,6.7,30.28,1,01-04-2017 09:59,0.30284,4.52
45,01-04-2017 00:00,M,C,1.42,29.44,41.8,4.9,6.96,2,01-04-2017 10:00,0.06958,1.42
25,01-04-2017 00:00,M,C,1.94,24.72,47.96,3.2,6.21,2,01-04-2017 10:03,0.06208,1.94
119,01-04-2017 00:00,M,C,10.48,28.05,293.96,4.4,46.11,2,01-04-2017 10:07,0.46112,10.48
90,01-04-2017 00:00,M,C,3.02,28.05,84.71,4.4,13.29,2,01-04-2017 10:08,0.13288,3.02
181,01-04-2017 00:00,M,C,5.68,26.66,151.43,3.9,22.15,2,01-04-2017 10:11,0.22152,5.68
43,01-04-2017 00:00,M,C,15.98,29.16,465.98,4.8,76.7,2,01-04-2017 10:12,0.76704,15.98
69,01-04-2017 00:00,M,C,1.04,29.71,30.9,5,5.2,3,01-04-2017 10:13,0.052,1.04
123,01-04-2017 00:00,M,C,1.26,28.6,36.04,4.6,5.8,3,01-04-2017 10:15,0.05796,1.26
202,01-04-2017 00:00,M,C,4.08,31.66,129.17,5.7,23.26,3,01-04-2017 10:17,0.23256,4.08
114,01-04-2017 00:00,M,C,6.28,29.71,186.58,5,31.4,3,01-04-2017 10:17,0.314,6.28
113,01-04-2017 00:00,M,C,2.32,28.05,65.08,4.4,10.21,3,01-04-2017 10:18,0.10208,2.32
52,01-04-2017 00:00,E,C,3.68,26.66,98.11,3.9,14.35,4,01-04-2017 21:55,0.14352,3.68
113,01-04-2017 00:00,E,C,1.7,28.05,47.69,4.4,7.48,5,01-04-2017 21:56,0.0748,1.7
30,01-04-2017 00:00,E,C,4.34,28.6,124.12,4.6,19.96,5,01-04-2017 21:57,0.19964,4.34
65,01-04-2017 00:00,E,C,21.08,28.88,608.79,4.7,99.08,5,01-04-2017 21:58,0.99076,21.08
66,01-04-2017 00:00,E,C,14.34,27.21,390.19,4.1,58.79,6,01-04-2017 21:59,0.58794,14.34
169,01-04-2017 00:00,E,C,9.86,27.77,273.81,4.3,42.4,6,01-04-2017 22:00,0.42398,9.86
137,01-04-2017 00:00,E,C,3.32,27.21,90.34,4.1,13.61,6,01-04-2017 22:00,0.13612,3.32
59,01-04-2017 00:00,E,C,7.66,28.88,221.22,4.7,36,6,01-04-2017 22:02,0.36002,7.66
50,01-04-2017 00:00,E,C,13.96,27.77,387.67,4.3,60.03,6,01-04-2017 22:03,0.60028,13.96
5,01-04-2017 00:00,E,B,17.9,40.47,724.41,7.1,127.09,1,01-04-2017 22:04,1.2709,17.9
68,01-04-2017 00:00,E,C,11.3,28.6,323.18,4.6,51.98,7,01-04-2017 22:04,0.5198,11.3
126,01-04-2017 00:00,E,C,2.28,29.71,67.74,5,11.4,7,01-04-2017 22:05,0.114,2.28
36,01-04-2017 00:00,E,B,4.62,39.33,181.7,6.9,31.88,1,01-04-2017 22:06,0.31878,4.62
198,01-04-2017 00:00,E,C,5.72,28.33,162.05,4.5,25.74,7,01-04-2017 22:18,0.2574,5.72
136,01-04-2017 00:00,E,B,10.26,47.88,491.25,8.4,86.18,1,01-04-2017 22:19,0.86184,10.26
136,01-04-2017 00:00,E,C,34.28,30.82,1056.51,5.4,185.11,8,01-04-2017 22:20,1.85112,34.28
104,01-04-2017 00:00,E,C,4.66,30.82,143.62,5.4,25.16,8,01-04-2017 22:20,0.25164,4.66
1000,01-04-2017 00:00,E,B,38.3,41.61,1593.66,7.3,279.59,2,01-04-2017 22:21,2.7959,38.3
1000,01-04-2017 00:00,E,C,297.99,29.16,8689.39,4.8,1430.35,15,01-04-2017 22:21,14.30352,297.99
128,01-04-2017 00:00,M,C,1.42,29.71,42.19,5,7.1,3,01-04-2017 10:22,0.071,1.42
96,01-04-2017 00:00,M,B,1.24,50.16,62.2,8.8,10.91,1,01-04-2017 10:23,0.10912,1.24
190,01-04-2017 00:00,M,C,1.16,30.27,35.11,5.2,6.03,3,01-04-2017 10:25,0.06032,1.16
86,01-04-2017 00:00,M,C,5.88,30.55,179.63,5.3,31.16,3,01-04-2017 10:26,0.31164,5.88
169,01-04-2017 00:00,M,C,7.5,28.33,212.48,4.5,33.75,3,01-04-2017 10:26,0.3375,7.5
